Probe Set ID	Representative Public ID
1552785_at	NM_152605
1552787_at	NM_033647
1552788_a_at	NM_033647
1552789_at	NM_153039
1552790_a_at	NM_153039
1552791_a_at	NM_006073
1552792_at	NM_080867
1552793_at	NM_173687
1552794_a_at	NM_173631
1552796_a_at	NM_005068
1552797_s_at	NM_144707
1552798_a_at	NM_138557
1552799_at	NM_145003
1552800_at	NM_148916
1552801_at	NM_144575
1552803_a_at	NM_152497
1552804_a_at	NM_148910
1552806_a_at	NM_033130
1552807_a_at	AF301007
1552808_at	NM_139264
1552809_at	NM_002920
1552811_at	NM_053284
1552812_a_at	NM_014554
1552813_at	NM_138693
1552814_a_at	NM_138693
1552816_at	NM_145283
1552818_a_at	NM_001727
1552819_at	NM_153454
1552822_at	NM_019022
1552825_at	NM_145756
1552826_at	NM_134266
1552827_s_at	NM_134266
1552828_at	NM_052870
1552829_at	NM_018505
1552830_at	NM_153230
1552833_at	NM_138706
1552834_at	BC025357
1552835_at	NM_144977
1552836_at	NM_173656
1552837_at	NM_173041
1552839_at	NM_173526
1552841_s_at	NM_138724
1552842_at	NM_153456
1552843_at	NM_134425
1552845_at	NM_138429
1552846_s_at	NM_152304
1552848_a_at	NM_173495
1552849_at	NM_138804
1552851_at	NM_152677
1552852_a_at	NM_152677
1552853_at	NM_144623
1552854_a_at	NM_144623
1552856_at	NM_153238
1552857_a_at	NM_000871
1552858_at	NM_173523
1552860_at	NM_145653
1552862_at	NM_173639
1552863_a_at	NM_145815
1552865_a_at	NM_152590
1552867_at	NM_138474
1552868_at	NM_152480
1552870_s_at	NM_144696
1552872_at	NM_025091
1552873_s_at	NM_025091
1552875_a_at	NM_138939
1552876_at	NM_153755
1552877_s_at	NM_153755
1552878_at	BC032621
1552879_a_at	BC032621
1552880_at	NM_033127
1552882_a_at	NM_152424
1552884_at	NM_152568
1552885_a_at	NM_152568
1552887_at	NM_152710
1552889_a_at	NM_138568
1552890_a_at	NM_145200
1552892_at	NM_052945
1552893_at	NM_033259
1552895_a_at	NM_153773
1552897_a_at	NM_133329
1552898_a_at	AF348982
1552899_at	NM_153224
1552900_a_at	NM_153224
1552902_a_at	NM_148898
1552903_at	NM_153446
1552904_at	NM_138999
1552906_at	NM_152578
1552908_at	NM_145278
1552910_at	NM_052884
1552911_at	AB072038
1552912_a_at	NM_144701
1552913_at	NM_173699
1552914_a_at	NM_025240
1552915_at	NM_172138
1552917_at	NM_172140
1552919_at	NM_144645
1552921_a_at	NM_022116
1552922_at	NM_014989
1552923_a_at	NM_020845
1552924_a_at	AL133612
1552925_at	NM_020815
1552927_at	NM_152787
1552928_s_at	NM_152787
1552929_at	NM_139209
1552930_at	NM_033467
1552931_a_at	NM_002605
1552932_at	NM_138329
1552933_at	NM_152763
1552935_at	NM_152694
1552937_s_at	NM_130384
1552938_at	NM_033132
1552939_at	NM_139290
1552940_at	NM_172000
1552942_at	NM_153009
1552943_at	NM_173536
1552944_a_at	NM_052839
1552946_at	NM_153608
1552947_x_at	NM_153608
1552948_at	NM_152492
1552950_at	NM_173528
1552952_at	NM_144971
1552953_a_at	NM_006160
1552954_at	NM_173668
1552955_at	NM_054029
1552957_at	NM_145299
1552960_at	NM_130830
1552961_at	NM_032908
1552964_at	NM_173572
1552965_a_at	NM_145236
1552967_at	NM_152577
1552969_a_at	NM_145310
1552970_s_at	NM_145310
1552971_at	NM_139167
1552972_at	NM_152711
1552973_at	NM_003396
1552974_at	NM_014130
1552975_x_at	NM_014130
1552976_at	NM_153614
1552977_a_at	NM_006586
1552978_a_at	NM_052822
1552979_at	NM_173513
1552980_at	NM_138612
1552982_a_at	NM_002007
1552985_at	NM_173851
1552986_at	NM_138470
1552987_a_at	NM_153241
1552988_at	NM_152587
1552990_at	NM_152656
1552991_at	NM_153444
1552993_at	NM_138812
1552995_at	NM_145659
1552997_a_at	NM_152397
1552998_at	NM_153325
1552999_a_at	NM_172006
1553002_at	NM_152250
1553003_at	NM_170724
1553004_at	NM_138295
1553006_at	NM_153834
1553007_a_at	NM_014253
1553009_s_at	NM_172239
1553011_at	NM_153809
1553013_at	NM_130773
1553015_a_at	NM_004260
1553016_at	NM_153835
1553019_at	NM_080751
1553020_at	NM_144774
1553021_s_at	NM_015250
1553022_at	NM_052882
1553023_a_at	NM_024505
1553024_at	NM_172368
1553025_at	NM_020455
1553027_a_at	NM_057162
1553028_at	NM_153002
1553030_a_at	NM_000456
1553031_at	NM_153838
1553032_at	NM_139017
1553033_at	NM_138780
1553034_at	NM_006642
1553036_at	NM_153839
1553037_a_at	NM_133625
1553039_a_at	NM_080871
1553041_at	NM_130770
1553042_a_at	NM_032721
1553043_a_at	NM_139018
1553044_at	NM_032602
1553045_at	NM_003395
1553046_s_at	NM_022134
1553047_at	NM_138687
1553048_a_at	NM_138687
1553051_s_at	NM_053280
1553052_at	NM_172005
1553053_at	NM_152777
1553055_a_at	NM_144975
1553057_at	NM_080474
1553058_at	NM_133261
1553059_at	NM_052891
1553060_at	NM_033126
1553061_at	NM_033519
1553062_at	NM_058165
1553063_at	NM_080819
1553064_at	NM_153833
1553066_at	NM_175057
1553067_a_at	NM_057163
1553069_at	NM_153455
1553070_a_at	NM_133371
1553071_a_at	NM_133371
1553072_at	NM_138279
1553074_at	NM_080873
1553075_a_at	AF548121
1553076_at	NM_153003
1553077_at	NM_148897
1553078_at	NM_153445
1553079_at	NM_138700
1553080_at	NM_173085
1553081_at	NM_080869
1553082_at	NM_144727
1553083_at	NM_032363
1553084_at	NM_139171
1553086_at	NM_144663
1553087_at	NM_032362
1553088_a_at	NM_138626
1553089_a_at	NM_080736
1553093_a_at	NM_153323
1553094_at	NM_170685
1553096_s_at	NM_138627
1553099_at	NM_145702
1553101_a_at	NM_017758
1553102_a_at	BC016647
1553103_at	NM_147134
1553105_s_at	NM_001943
1553106_at	NM_152409
1553107_s_at	BF436799
1553108_at	AW068615
1553111_a_at	NM_152903
1553112_s_at	NM_001260
1553113_s_at	BF700678
1553114_a_at	NM_005975
1553115_at	AF358135
1553117_a_at	NM_007271
1553118_at	NM_053055
1553120_at	NM_022111
1553122_s_at	NM_021163
1553123_at	NM_173636
1553125_x_at	NM_173636
1553126_a_at	NM_152725
1553127_a_at	BC033791
1553129_at	NM_024500
1553130_at	NM_152340
1553131_a_at	D78260
1553132_a_at	NM_152332
1553133_at	BC020851
1553134_s_at	BC020851
1553136_at	NM_152387
1553137_s_at	AF028008
1553138_a_at	NM_152363
1553139_s_at	NM_017514
1553140_at	NM_014100
1553141_at	BC035749
1553142_at	NM_153218
1553145_at	BC010030
1553146_at	NM_152539
1553147_at	NM_145000
1553148_a_at	R75838
1553150_at	NM_153042
1553151_at	AY079172
1553153_at	NM_152565
1553155_x_at	NM_152565
1553156_at	AB055704
1553157_at	AB055703
1553158_at	AY099509
1553159_at	NM_003777
1553162_x_at	NM_144692
1553163_at	NM_138430
1553165_at	NM_080551
1553166_at	NM_144985
1553167_a_at	BC023539
1553168_at	NM_002088
1553169_at	BC019612
1553171_x_at	BC019612
1553172_at	NM_015694
1553174_at	NM_020433
1553175_s_at	AB015656
1553176_at	AF403479
1553177_at	BC022407
1553178_a_at	NM_001051
1553179_at	NM_133638
1553180_at	NM_133638
1553181_at	NM_138620
1553183_at	NM_173568
1553185_at	NM_152573
1553186_x_at	NM_152573
1553188_s_at	AF428251
1553190_s_at	AB092439
1553191_at	NM_020388
1553192_at	NM_152355
1553193_at	NM_152355
1553194_at	NM_173808
1553196_a_at	AY043466
1553197_at	NM_152418
1553199_at	AA583332
1553202_at	NM_152709
1553204_at	NM_152757
1553205_at	AL832097
1553207_at	NM_173664
1553208_s_at	NM_173664
1553209_at	NM_032814
1553211_at	NM_153228
1553212_at	NM_173352
1553213_a_at	NM_173352
1553214_a_at	NM_145023
1553215_s_at	NM_145023
1553216_at	NM_007130
1553217_s_at	NM_007130
1553218_a_at	NM_032434
1553219_a_at	NM_015365
1553220_at	NM_173511
1553221_at	NM_152478
1553222_at	AB083055
1553224_at	NM_033631
1553225_s_at	NM_007131
1553226_at	NM_152454
1553227_s_at	NM_018963
1553228_at	NM_152723
1553229_at	NM_152412
1553232_at	NM_144713
1553234_at	NM_139054
1553235_at	NM_031882
1553237_x_at	NM_031882
1553238_a_at	NM_144685
1553239_at	NM_145019
1553241_at	NM_173688
1553243_at	NM_032817
1553244_at	NM_152633
1553246_a_at	NM_032237
1553247_a_at	NM_152601
1553248_at	NM_152675
1553249_at	NM_148674
1553252_a_at	NM_153252
1553253_at	NM_080863
1553254_at	NM_138703
1553255_at	NM_152473
1553257_at	AY026481
1553258_at	NM_153017
1553260_s_at	NM_152525
1553261_x_at	NM_152525
1553262_a_at	NM_018949
1553263_at	NM_173477
1553264_a_at	NM_006950
1553265_at	NM_144712
1553266_at	NM_144571
1553267_a_at	NM_144571
1553268_at	NM_138328
1553269_at	CA411757
1553271_at	NM_173602
1553272_at	NM_078483
1553274_a_at	NM_152551
1553275_s_at	NM_173594
1553276_at	NM_152476
1553277_at	NM_173630
1553279_at	NM_152547
1553280_at	NM_144709
1553281_at	NM_153268
1553282_at	NM_152507
1553284_s_at	NM_033029
1553285_s_at	NM_152442
1553286_at	NM_152791
1553288_a_at	NM_173564
1553292_s_at	NM_144610
1553293_at	NM_054031
1553295_at	NM_152555
1553296_at	NM_032787
1553297_a_at	NM_172313
1553298_at	NM_152460
1553299_at	NM_152664
1553300_a_at	NM_152910
1553301_a_at	NM_144632
1553303_at	NM_152337
1553304_at	NM_144703
1553306_at	NM_033358
1553310_at	NM_153021
1553311_at	NM_173644
1553313_s_at	NM_006933
1553314_a_at	NM_153209
1553315_at	NM_144990
1553316_at	NM_080817
1553317_s_at	AL832460
1553318_at	NM_144968
1553319_at	AF370886
1553320_s_at	NM_152627
1553321_a_at	NM_006588
1553322_s_at	NM_021961
1553323_a_at	AF411819
1553325_at	BC029532
1553326_at	AF453828
1553327_a_at	NM_152751
1553328_a_at	NM_003054
1553329_at	BC017587
1553330_at	NM_145268
1553333_at	NM_152367
1553335_x_at	NM_173669
1553336_a_at	NM_152622
1553338_at	NM_152608
1553340_s_at	NM_054028
1553341_at	NM_144639
1553344_at	AY029205
1553346_a_at	NM_020847
1553347_s_at	NM_002235
1553348_a_at	NM_147133
1553349_at	NM_152641
1553350_at	NM_152698
1553351_at	NM_130901
1553352_x_at	AF513360
1553354_a_at	NM_153030
1553355_at	NM_153019
1553356_at	NM_053057
1553357_at	NM_153016
1553359_at	NM_024963
1553361_x_at	NM_024963
1553362_at	NM_173645
1553363_at	NM_152554
1553364_at	NM_173676
1553365_at	NM_152317
1553366_s_at	NM_144994
1553367_a_at	NM_144613
1553369_at	NM_173544
1553371_at	NM_173641
1553372_at	NM_152669
1553373_at	NM_144625
1553374_at	NM_018544
1553375_at	NM_152733
1553376_a_at	NM_144619
1553378_a_at	NM_152781
1553380_at	NM_152615
1553383_at	NM_152432
1553385_at	NM_032845
1553386_at	NM_032793
1553387_at	NM_138293
1553388_at	NM_153036
1553389_at	NM_152530
1553390_at	NM_173681
1553391_at	NM_152761
1553392_at	NM_173503
1553394_a_at	NM_003221
1553395_a_at	AF497548
1553396_a_at	NM_144719
1553397_at	NM_144719
1553398_at	NM_053012
1553399_a_at	NM_152466
1553400_a_at	NM_152466
1553401_at	NM_147199
1553402_a_at	NM_139011
1553403_at	AB076563
1553405_a_at	NM_033225
1553407_at	NM_033044
1553409_at	NM_025003
1553410_a_at	AF395909
1553411_s_at	NM_171999
1553412_at	NM_032785
1553413_at	NM_025011
1553415_at	NM_139319
1553417_at	NM_173580
1553418_a_at	NM_138996
1553420_at	NM_153031
1553422_s_at	NM_145892
1553423_a_at	NM_144682
1553424_at	NM_173599
1553425_at	NM_152498
1553426_at	NM_173667
1553427_at	NM_139055
1553428_at	NM_173675
1553429_at	NM_152575
1553430_a_at	AY028913
1553432_s_at	NM_170664
1553433_at	NM_173550
1553434_at	NM_173534
1553435_at	NM_152469
1553436_at	NM_173600
1553437_at	NM_152375
1553438_at	NM_173578
1553439_at	NM_173692
1553440_at	NM_153010
1553441_at	NM_138994
1553442_a_at	NM_138994
1553443_at	NM_173684
1553444_a_at	NM_173507
1553446_at	NM_173671
1553447_at	NM_152336
1553448_at	NM_173673
1553449_at	NM_173617
1553450_s_at	NM_173617
1553451_at	NM_173616
1553452_at	NM_173597
1553453_at	NM_130387
1553454_at	NM_152364
1553456_at	NM_152714
1553457_at	NM_173697
1553458_at	NM_144984
1553459_at	NM_173646
1553460_at	NM_173649
1553461_at	NM_173696
1553462_at	NM_152541
1553464_at	NM_173682
1553465_a_at	NM_145024
1553466_at	NM_173695
1553467_at	NM_152580
1553468_at	NM_032821
1553470_at	NM_173628
1553471_at	NM_152462
1553472_at	NM_153041
1553474_at	AY172978
1553475_at	NM_018582
1553478_at	NM_173579
1553479_at	NM_173633
1553482_at	NM_153040
1553483_at	NM_152762
1553484_at	NM_144667
1553485_at	NM_153038
1553486_a_at	NM_173625
1553488_at	NM_144674
1553489_a_at	NM_144674
1553491_at	NM_173598
1553492_a_at	NM_006192
1553493_a_at	NM_152566
1553494_at	NM_152566
1553497_at	NM_152768
1553498_at	NM_018572
1553499_s_at	AY185496
1553500_at	NM_012159
1553502_a_at	NM_053016
1553504_at	NM_054032
1553505_at	NM_144670
1553506_at	NM_173077
1553507_a_at	NM_005284
1553508_at	NM_148895
1553510_s_at	NM_005444
1553511_at	NM_152219
1553512_at	NM_173860
1553513_at	NM_078625
1553514_a_at	NM_078625
1553515_at	NM_138336
1553517_at	AF517122
1553518_at	AF355799
1553519_at	NM_145180
1553521_at	NM_080389
1553523_at	NM_176822
1553524_at	NM_145695
1553525_at	NM_176810
1553526_at	NM_176811
1553527_at	NM_176820
1553528_a_at	NM_139052
1553529_at	NM_152232
1553530_a_at	NM_033669
1553531_at	NM_138322
1553532_a_at	NM_032819
1553533_at	NM_020647
1553534_at	NM_176821
1553535_a_at	NM_002883
1553536_at	NM_018615
1553537_at	NM_175068
1553538_s_at	NM_173704
1553539_at	NM_175053
1553540_a_at	NM_001532
1553541_at	NM_177398
1553542_at	NM_176816
1553544_at	NM_054021
1553545_at	NM_175924
1553546_at	NM_018614
1553547_at	NM_018605
1553549_at	NM_173856
1553550_at	NM_173858
1553551_s_at	NM_173709
1553552_at	NM_053278
1553553_at	NM_176881
1553555_at	NM_176817
1553556_at	NM_176882
1553558_at	NM_176883
1553559_at	NM_173490
1553560_at	NM_173857
1553561_at	NM_176890
1553562_at	NM_172100
1553564_at	NM_080676
1553565_s_at	NM_012137
1553566_at	NM_153685
1553567_s_at	NM_173702
1553568_a_at	NM_005323
1553569_at	NM_173705
1553570_x_at	NM_173705
1553572_a_at	NM_134268
1553573_s_at	NM_001405
1553574_at	NM_176891
1553575_at	NM_173714
1553579_a_at	NM_058206
1553581_s_at	NM_173829
1553582_a_at	NM_058207
1553583_a_at	NM_003251
1553584_at	NM_176819
1553585_a_at	NM_021049
1553586_at	NM_175901
1553587_a_at	NM_019896
1553588_at	NM_173710
1553589_a_at	NM_005764
1553590_at	NM_175923
1553591_at	NM_080842
1553592_x_at	NM_080842
1553593_a_at	NM_005421
1553594_a_at	NM_005543
1553599_a_at	AF492003
1553600_at	NM_147196
1553601_a_at	NM_147196
1553602_at	NM_058173
1553603_s_at	NM_022374
1553604_at	NM_152701
1553605_a_at	NM_152701
1553607_at	NM_138968
1553608_a_at	NM_138968
1553611_s_at	NM_173583
1553612_at	NM_058230
1553613_s_at	NM_001453
1553614_a_at	NM_173604
1553618_at	NM_138800
1553619_a_at	NM_138800
1553620_at	NM_152616
1553622_a_at	NM_152597
1553623_at	NM_032757
1553625_at	NM_173611
1553626_a_at	NM_152347
1553627_s_at	NM_152347
1553629_a_at	NM_130899
1553630_at	NM_173554
1553633_s_at	NM_139173
1553634_a_at	NM_173677
1553635_s_at	NM_152665
1553636_at	NM_152453
1553637_s_at	NM_152453
1553639_a_at	NM_133263
1553640_at	NM_173683
1553641_a_at	NM_052933
1553642_at	NM_152571
1553644_at	NM_152592
1553645_at	NM_173648
1553646_at	NM_144657
1553647_at	NM_152342
1553651_at	NM_173529
1553652_a_at	NM_173529
1553654_at	NM_153262
1553655_at	NM_152623
1553656_at	NM_058222
1553657_at	NM_173615
1553658_at	NM_152508
1553660_at	NM_148959
1553661_a_at	NM_148959
1553663_a_at	NM_148896
1553666_at	NM_080654
1553668_at	NM_032773
1553670_at	NM_033547
1553672_at	NM_145240
1553673_at	NM_080836
1553674_at	NM_145258
1553675_at	NM_138343
1553677_a_at	NM_152902
1553678_a_at	NM_133376
1553679_s_at	NM_173517
1553681_a_at	NM_005041
1553682_at	NM_152441
1553683_s_at	NM_152441
1553684_at	NM_173672
1553685_s_at	NM_138473
1553686_at	NM_145055
1553688_at	NM_152396
1553689_s_at	NM_152396
1553690_at	NM_138484
1553691_at	NM_152490
1553693_s_at	NM_032783
1553694_a_at	NM_002645
1553695_a_at	NM_170722
1553696_s_at	NM_152484
1553697_at	NM_145257
1553698_a_at	NM_145257
1553701_a_at	NM_152511
1553702_at	NM_138366
1553703_at	NM_153358
1553704_x_at	NM_153358
1553705_a_at	NM_000740
1553706_at	NM_153692
1553708_at	NM_032761
1553709_a_at	NM_032284
1553710_at	NM_153027
1553711_a_at	NM_153027
1553713_a_at	NM_144593
1553715_s_at	NM_032371
1553717_at	NM_153033
1553718_at	NM_152909
1553719_s_at	NM_152909
1553720_a_at	NM_152704
1553721_at	NM_173557
1553722_s_at	NM_173557
1553723_at	NM_170776
1553725_s_at	NM_016620
1553726_s_at	NM_152730
1553727_at	NM_173593
1553728_at	NM_152759
1553729_s_at	NM_152759
1553730_x_at	NM_152759
1553732_s_at	NM_032816
1553734_at	NM_152327
1553736_at	NM_144982
1553739_at	NM_001570
1553740_a_at	NM_001570
1553741_at	NM_153709
1553743_at	NM_145280
1553746_a_at	NM_173591
1553747_at	NM_032923
1553749_at	NM_144664
1553750_a_at	NM_144664
1553752_at	NM_080608
1553755_at	NM_138454
1553756_at	NM_032764
1553757_at	NM_032263
1553759_at	NM_153255
1553761_at	NM_173566
1553764_a_at	NM_032876
1553765_a_at	NM_052904
1553768_a_at	NM_173674
